SaleDate,ProductCategoryName,Units,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCC Last Updated
6/15/2021,Infused Pre-Rolls,428,Grams,12923.65,0,0,491.18,12923.65,491.18,4/24/2023
8/24/2019,Infused (edible),7755,Each,286127.05,10021,286127.05,0,0,10021,4/24/2023
12/19/2022,Immature Plants,14,Each,485,15,485,0,0,15,4/24/2023
1/18/2019,Concentrate,95,Grams,4297.68,0,0,68,4297.68,68,4/24/2023
5/26/2020,Infused (edible),9293,Each,367102.12,12610,367102.12,0,0,12610,4/24/2023
8/25/2021,Shake/Trim,2,Milligrams,78.75,0,0,21000,78.75,21000,4/24/2023
12/6/2021,Concentrate (Bulk),2,Grams,150,0,0,3,150,3,4/24/2023
1/3/2023,Suppository,7,Each,200,8,200,0,0,8,4/24/2023
4/19/2022,Shake/Trim,14,Grams,926,0,0,143.9,926,143.9,4/24/2023
2/16/2023,Immature Plants,4,Each,210,8,210,0,0,8,4/24/2023
1/9/2020,Infused (edible),6204,Each,255083.49,8303,255083.49,0,0,8303,4/24/2023
4/26/2022,Buds,4,Pounds,171.8,0,0,0.02,171.8,0.02,4/24/2023
6/3/2022,Buds,43203,Grams,2093974.98,0,0,199473.79,2093974.98,199473.79,4/24/2023
6/20/2022,Concentrate (Each),3545,Each,178558.59,4034,178558.59,0,0,4034,4/24/2023
10/14/2021,Shake/Trim (by strain),658,Grams,30213.08,0,0,4974.8,30213.08,4974.8,4/24/2023
8/19/2022,Infused (non-edible),366,Each,14808.72,428,14808.72,0,0,428,4/24/2023
7/7/2020,Raw Pre-Rolls,10745,Grams,226922.72,0,0,14519.14,226922.72,14519.14,4/24/2023
12/28/2020,Kief,111,Grams,3797.31,0,0,138,3797.31,138,4/24/2023
5/7/2019,Buds,11157,Grams,431969.42,0,0,31248.89,431969.42,31248.89,4/24/2023
10/5/2019,Raw Pre-Rolls,6288,Grams,124595.98,0,0,8028.2,124595.98,8028.2,4/24/2023
12/13/2019,Raw Pre-Rolls,10645,Grams,218168.34,0,0,14057.46,218168.34,14057.46,4/24/2023
9/4/2022,Immature Plants,2,Each,60,2,60,0,0,2,4/24/2023
9/19/2019,Infused (non-edible),927,Each,54851.6,1071,54851.6,0,0,1071,4/24/2023
5/5/2022,Immature Plants,5,Each,270,10,270,0,0,10,4/24/2023
1/27/2023,Shake/Trim (by strain),1722,Grams,68141.75,0,0,14546.4,68141.75,14546.4,4/24/2023
8/3/2022,Shake/Trim,254,Grams,12172.36,0,0,2429,12172.36,2429,4/24/2023
2/24/2019,Concentrate (Each),3876,Each,202653.22,4365,202653.22,0,0,4365,4/24/2023
3/4/2023,Immature Plants,5,Each,315,,315,0,0,9,4/24/2023
7/11/2022,Immature Plants,6,Each,300,11,300,0,0,11,4/24/2023
10/9/2022,Shake/Trim,161,Grams,6435.3,0,0,933,6435.3,933,4/24/2023
11/16/2021,Buds,23946,Grams,1280577.01,0,0,96074.7,1280577.01,96074.7,4/24/2023
7/6/2020,Shake/Trim (by strain),464,Grams,8137,0,0,534,8137,534,4/24/2023
11/10/2022,Immature Plants,20,Each,624.32,23,624.32,0,0,23,4/24/2023
9/6/2020,Raw Pre-Rolls,13667,Grams,278163.77,0,0,17910.96,278163.77,17910.96,4/24/2023
4/18/2023,Kief,108,Grams,2566.75,,0,135.42,2566.75,135.42,4/24/2023
5/17/2021,Infused Pre-Rolls,399,Grams,11618.26,0,0,448.41,11618.26,448.41,4/24/2023
2/27/2021,Infused (non-edible),389,Each,17886.1,460,17886.1,0,0,460,4/24/2023
8/24/2020,Infused (edible),8048,Each,303405.45,10551,303405.45,0,0,10551,4/24/2023
8/8/2019,Infused (edible),4979,Each,198119.71,6643,198119.71,0,0,6643,4/24/2023
1/5/2019,Concentrate,4,Grams,2844,0,0,41,2844,41,4/24/2023
11/15/2021,Concentrate (Bulk),4,Grams,370,0,0,8,370,8,4/24/2023
10/21/2022,Concentrate,2,Milligrams,72.75,0,0,1500,72.75,1500,4/24/2023
12/26/2018,Infused (non-edible),291,Each,16970.39,320,16970.39,0,0,320,4/24/2023
10/31/2022,Buds,7,Pounds,309.88,0,0,0.03,309.88,0.03,4/24/2023
12/24/2019,Infused (edible),9139,Each,330251.31,11532,330251.31,0,0,11532,4/24/2023
7/28/2019,Raw Pre-Rolls,2142,Grams,46842.72,0,0,2834.5,46842.72,2834.5,4/24/2023
12/29/2020,Concentrate (Each),3022,Each,180257.4,3462,180257.4,0,0,3462,4/24/2023
8/19/2019,Buds,13268,Grams,577325.71,0,0,41794.73,577325.71,41794.73,4/24/2023
6/9/2022,Shake/Trim,99,Grams,6861.02,0,0,1133,6861.02,1133,4/24/2023
2/1/2020,Infused (edible),13069,Each,479187.43,16467,479187.43,0,0,16467,4/24/2023
8/9/2021,Raw Pre-Rolls,3,Pounds,80,0,0,0.01,80,0.01,4/24/2023
1/4/2023,Immature Plants,6,Each,180,6,180,0,0,6,4/24/2023
11/6/2022,Infused Pre-Rolls,1611,Grams,46406.43,0,0,1887.57,46406.43,1887.57,4/24/2023
4/4/2023,Shake/Trim,1075,Grams,51655.59,,0,15488.5,51655.59,15488.5,4/24/2023
7/1/2020,Kief,141,Grams,4263,0,0,152,4263,152,4/24/2023
5/20/2019,Raw Pre-Rolls,864,Grams,15545.01,0,0,951.25,15545.01,951.25,4/24/2023
12/3/2022,Shake/Trim,418,Grams,19397.9,0,0,3515,19397.9,3515,4/24/2023
3/7/2019,Concentrate,96,Grams,6131.08,0,0,88.5,6131.08,88.5,4/24/2023
2/17/2023,Suppository,1,Each,48.92,1,48.92,0,0,1,4/24/2023
4/3/2022,Shake/Trim,36,Grams,3272,0,0,603.3,3272,603.3,4/24/2023
10/2/2022,Infused Pre-Rolls,1467,Grams,41515.21,0,0,1818.05,41515.21,1818.05,4/24/2023
10/18/2022,Concentrate,2,Milligrams,84.37,0,0,2000,84.37,2000,4/24/2023
1/22/2020,Buds,15969,Grams,703290.67,0,0,48114.41,703290.67,48114.41,4/24/2023
12/10/2018,Buds,2924,Grams,120969.95,0,0,8953.6,120969.95,8953.6,4/24/2023
6/1/2021,Buds,2,Milligrams,70,0,0,7000,70,7000,4/24/2023
