RecordNo,ActivitySummaryDate,PlantTrackedCount,PlantBatchCount,StrainActiveCount,PlantImmatureCount,HarvestActiveCount,PlantVegetativeCount,PlantFloweringCount,PlantHarvestedCount,PlantDestroyedCount,EmployeeCount,ProductActiveCount,PackageActiveCount
1375,8/12/2022,538.520805369,7.512751678,72.142499235,314.499328859,2.865771812,187.479194631,351.041610738,2850.394630872,756.982550336,18.331831058,291.187068347,1034.895711581
1376,8/13/2022,538.426845638,7.554362416,72.145924540,312.732885906,2.865771812,189.025503356,349.401342282,2852.024161074,757.311409396,18.333614935,291.222630404,1033.196794203
1377,8/14/2022,541.464429530,7.542281879,72.012251061,310.624161074,2.865771812,192.359731544,349.104697987,2853.281879195,757.535570470,18.316118694,290.727405612,1030.816489118
1378,8/15/2022,541.097986577,7.468456376,72.060626597,310.767785235,2.871140940,192.084563758,349.013422819,2862.826845638,758.936912752,18.339831610,290.924286702,1030.237219858
1379,8/16/2022,527.489932886,7.622818792,72.186906473,309.830872483,2.873825503,189.746308725,337.743624161,2880.926174497,760.382550336,18.310960881,291.464371943,1021.174972083
1380,8/17/2022,524.884563758,7.649664430,71.998982913,318.252348993,2.876510067,192.311409396,332.573154362,2892.714093960,762.489932886,18.329503123,291.659457596,1023.613953379
1381,8/18/2022,510.656375839,7.451006711,72.077346210,321.264429530,2.881879195,188.617449664,322.038926174,2911.879194631,763.802684564,18.335283362,292.028837296,1027.975363155
1382,8/19/2022,508.448322148,7.291275168,72.552182362,312.535570470,2.892617450,185.378523490,323.069798658,2915.842953020,770.315436242,18.286958729,293.082344301,1034.669969131
1383,8/20/2022,500.233557047,7.371812081,72.555858833,316.426845638,2.900671141,173.812080537,326.421476510,2923.652348993,770.781208054,18.286958729,293.122219867,1032.752147317
1384,8/21/2022,497.314093960,7.416107383,72.560270597,316.530201342,2.906040268,172.189261745,325.124832215,2927.605369128,771.252348993,18.286958729,293.250839776,1031.087001017
1385,8/22/2022,501.927516779,7.135570470,73.107509733,308.220134228,2.916778523,175.985234899,325.942281879,2931.942281879,772.634899329,18.323737101,293.503507638,1031.039440554
1386,8/23/2022,505.205369128,7.028187919,73.170592343,310.069798658,2.939597315,170.965100671,334.240268456,2936.708724832,773.797315436,18.274843259,292.925720931,1031.288025624
1387,8/24/2022,510.4,6.672483221,73.162887429,310.712751678,2.906040268,173.377181208,337.022818792,2939.659060403,775.029530201,18.257257825,293.290022061,1036.838597494
1388,8/25/2022,509.614765101,6.379865772,73.127367468,306.715436242,2.953020134,177.994630872,331.620134228,2948.578523490,776.452348993,18.264074022,293.130621395,1038.637263245
1389,8/26/2022,508.055033557,6.343624161,73.242754542,303.225503356,2.995973154,170.120805369,337.934228188,2952.617449664,777.912751678,18.284584016,293.393302517,1038.304950377
1390,8/27/2022,499.202684564,6.357046980,73.261679241,302.355704698,3.002684564,171.182550336,328.020134228,2962.491275168,778.638926174,18.302899034,293.456168510,1036.217288419
1391,8/28/2022,496.782550336,6.408053691,73.362485102,300.477852349,2.997315436,172.424161074,324.358389262,2966.414765101,778.995973154,18.316525407,293.533866472,1035.032750719
1392,8/29/2022,496.664429530,6.334228188,73.476528911,297.950335570,3.037583893,173.335570470,323.328859060,2972.096644295,780.056375839,18.315131008,293.772324569,1035.520034233
1393,8/30/2022,501.056375839,6.511409396,73.548564705,299.504697987,3.044295302,173.111409396,327.944966443,2975.853691275,780.637583893,18.333318190,294.186397387,1030.830768161
1394,8/31/2022,491.606666667,6.553333333,73.380860495,298.556,3.021333333,166.810666667,324.796,2964.152,777.821333333,18.279889695,293.199880469,1027.844638641
1395,9/1/2022,484.850666667,6.534666667,73.435277524,299.046666667,2.938666667,162.422666667,322.428,2972.901333333,779.752,18.290714217,293.605107644,1027.174315398
1396,9/2/2022,479.857333333,6.728,73.510455076,300.897333333,2.953333333,159.757333333,320.1,2980.44,782.416,18.293164420,293.817833610,1034.095410775
1397,9/3/2022,477.472,6.714666667,73.522176688,299.350666667,2.950666667,162.061333333,315.410666667,2985.126666667,782.508,18.305755201,294.055738372,1031.884331225
1398,9/4/2022,478.453333333,6.712,73.526261283,297.086666667,2.941333333,164.254666667,314.198666667,2986.285333333,782.638666667,18.304289999,294.116015654,1030.155796289
1399,9/5/2022,478.052,6.786666667,73.578697526,300.604,2.949333333,163.070666667,314.981333333,2987.457333333,782.678666667,18.301359596,294.192300124,1024.509443223
1400,9/6/2022,477.350666667,6.697333333,73.631380918,300.898666667,2.912,162.522666667,314.828,2992.504,785.846666667,18.303114521,294.505918481,1025.491700498
1401,9/8/2022,471.884,6.814666667,74.066631453,300.886666667,2.882666667,155.266666667,316.617333333,3005.458666667,790.538666667,18.392995369,295.395601251,1029.045126201
1402,9/9/2022,474.288,6.542666667,74.108632145,296.932,2.861333333,148.841333333,325.446666667,3007.901333333,792.568,18.361936416,295.998693102,1033.834913470
1403,9/10/2022,475.588,6.562666667,74.113870931,297.46,2.864,151.401333333,324.186666667,3009.14,792.893333333,18.360339346,296.036919656,1031.936481236
1404,9/11/2022,473.908,6.596,74.122772721,297.410666667,2.872,150.037333333,323.870666667,3010.569333333,793.168,18.361071947,296.082050625,1029.963734225
1405,9/12/2022,470.234666667,6.658666667,74.072903434,297.534666667,2.914666667,148.597333333,321.637333333,3017.968,794.096,18.371124937,296.911915691,1030.953276316
1406,9/13/2022,471.049333333,6.790666667,74.038695954,296.652,2.948,145.849333333,325.2,3023.392,795.161333333,18.342128592,298.317874141,1038.198670865
1407,9/14/2022,466.024,6.929333333,74.107217094,302.602666667,2.993333333,144.498666667,321.525333333,3031.489333333,797.485333333,18.363188134,299.340885664,1045.407703622
1408,9/15/2022,462.894666667,6.804,74.777485530,302.28,2.997333333,143.68,319.214666667,3038.152,799.025333333,18.318536328,299.758480736,1049.172245327
1409,9/16/2022,466.314666667,6.785333333,74.835852597,300.388,2.970666667,141.377333333,324.937333333,3041.872,799.648,18.315522035,300.492013040,1057.242242512
1410,9/17/2022,467.505333333,6.828,74.855610173,302.462666667,2.96,141.192,326.313333333,3042.966666667,799.752,18.313340216,300.549483595,1055.858242688
1411,9/18/2022,466.914666667,6.830666667,74.856337446,305.021333333,2.961333333,141.153333333,325.761333333,3043.536,800.492,18.313219004,300.587455007,1054.762718389
1412,9/19/2022,464.225333333,6.669333333,74.980868034,299.624,2.976,142.438666667,321.786666667,3050.181333333,805.645333333,18.322742160,305.579455007,1057.103022167
1413,9/20/2022,460.114666667,6.789333333,75.066103026,303.106666667,3.016,141.5,318.614666667,3055.137333333,811.468,18.297954194,306.786457866,1065.294583894
1414,9/21/2022,457.74,7.034666667,75.260982386,310.686666667,3.066666667,141.250666667,316.489333333,3060.026666667,815.62,18.309800963,307.299006751,1066.656113493
1415,9/22/2022,458.98,6.932,75.330800567,310.932,3.082666667,141.401333333,317.578666667,3062.578666667,816.088,18.414885209,307.821286911,1074.712557022
1416,9/23/2022,459.874666667,6.881333333,75.495322008,310.789333333,3.065333333,141.030666667,318.844,3067.326666667,816.896,18.519839095,309.126263469,1078.828352047
1417,9/24/2022,458.961333333,6.856,75.519164204,312.570666667,3.073333333,138.377333333,320.584,3067.590666667,817.785333333,18.527960307,309.195118815,1076.088260566
1418,9/25/2022,458.574666667,6.861333333,75.529346022,313.281333333,3.08,138.58,319.994666667,3068.185333333,818.002666667,18.527233034,309.259777477,1074.724978339
1419,9/26/2022,446.049006623,6.937748344,75.651645432,313.810596026,3.137748344,138.560264901,307.488741722,3060.666225166,813.671523179,18.537687680,309.204917731,1077.989231404
1420,9/27/2022,445.953642384,6.830463576,75.741831703,315.815894040,2.573509934,142.327152318,303.626490066,3069.203973510,814.562913907,18.555815660,310.720433322,1079.538106900
1421,9/28/2022,446.574834437,6.809271523,75.889943207,311.215894040,2.605298013,142.083443709,304.491390728,3074.735099338,816.181456954,18.637903679,310.826350649,1079.986791683
1422,9/29/2022,453.333774834,6.678145695,75.693743312,306.508609272,2.602649007,144.659602649,308.674172185,3078.178807947,817.112582781,18.603680277,310.190385147,1083.521920784
1423,9/30/2022,454.385430464,6.434437086,75.797248541,294.886092715,2.625165563,145.900662252,308.484768212,3084.809271523,817.672847682,18.594661032,310.367956148,1083.231677350
1424,10/1/2022,451.788079470,6.441059603,75.816994475,296.913907285,2.630463576,145.670198675,306.117880795,3086.096688742,819.287417219,18.593939010,310.409649493,1081.526962647
1425,10/2/2022,452.305960265,6.422516556,75.861860999,295.898013245,2.623841060,146.887417219,305.418543046,3086.789403974,819.405298013,18.589845961,310.434322551,1080.086154980
1426,10/3/2022,449.782781457,6.472847682,75.934082923,296.750993377,2.680794702,144.890066225,304.892715232,3092.932450331,821.843708609,18.629476626,310.896443570,1082.418396573
1427,10/4/2022,457.459602649,6.509933775,75.989579846,290.874172185,2.715231788,151.031788079,306.427814570,3098.380132450,823.317880795,18.637339517,311.260352591,1089.301020313
1428,10/5/2022,455.989403974,5.654304636,76.051288204,252.659602649,2.740397351,150.851655629,305.137748344,3102.319205298,824.336423841,18.635078592,311.907975662,1091.433205841
1429,10/6/2022,458.789403974,5.626490066,76.277604193,254.701986755,2.782781457,152.641059603,306.148344371,3105.821192053,825.068874172,18.636845845,312.367430127,1089.684589153
1430,10/7/2022,455.026490066,5.692715232,76.317483642,258.015894040,2.829139073,147.052980132,307.973509934,3110.772185430,826.143046358,18.649204342,312.656558572,1098.620345270
1431,10/8/2022,457.643708609,5.580132450,76.342323921,254.667549669,2.841059603,149.184105960,308.459602649,3111.484768212,826.360264901,18.653536472,312.691706041,1096.781886126
1432,10/9/2022,456.390728477,5.605298013,76.343045943,255.015894040,2.868874172,150.301986755,306.088741722,3113.899337748,826.585430464,18.652933990,312.697924964,1095.424782540
1433,10/10/2022,452.801324503,5.504635762,76.282316811,250.830463576,2.947019868,147.070198675,305.731125828,3123.010596026,828.449006623,18.663249874,313.085895222,1097.160741408
1434,10/11/2022,450.957615894,5.831788079,76.457151463,258.594701987,2.961589404,147.992052980,302.965562914,3129.135099338,829.728476821,18.697737067,313.257920047,1096.936471623
1435,10/12/2022,449.135099338,5.821192053,76.394180022,264.230463576,2.958940397,147.242384106,301.892715232,3135.972185430,830.923178808,18.690085675,314.050060709,1105.969762054
1436,10/13/2022,447.630463576,5.495364238,76.385590289,256.015894040,3.014569536,151.406622517,296.223841060,3143.384105960,832.680794702,18.706702348,313.946214899,1113.149525643
1437,10/14/2022,444.868874172,5.490066225,76.325744992,257.474172185,3.119205298,146.176158940,298.692715232,3148.842384106,834.789403974,18.739301481,313.791154056,1119.827841673
1438,10/15/2022,443.132450331,5.500662252,76.332127971,257.749668874,3.133774834,144.953642384,298.178807947,3150.822516556,835.241059603,18.789050133,311.977772550,1117.206751089
1439,10/16/2022,441.606622517,5.476821192,76.338417013,255.353642384,3.156291391,145.511258278,296.095364238,3152.695364238,835.494039735,18.789050133,312.001630181,1115.405783762
1440,10/17/2022,436.819867550,5.401324503,76.420872529,251.377483444,3.181456954,143.641059603,293.178807947,3160.516556291,836.980132450,18.816589008,312.876345691,1119.755561903
1441,10/18/2022,436.917880795,5.479470199,76.411947571,256.757615894,3.188079470,145.196026490,291.721854305,3165.953642384,838.411920530,18.854915675,313.188221061,1128.521909344
