SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
4/30/2021,Each,Infused (edible),639387.79,24603,639387.79,0,0,24603,19449
6/15/2022,Each,Concentrate (Each),199137.17,4751,199137.17,0,0,4751,4120
11/26/2022,Grams,Concentrate (Bulk),2009.17,0,0,357,2009.17,357,37
8/1/2023,Grams,Concentrate (Bulk),432.21,0,0,32.5,432.21,32.5,19
4/20/2022,Kilograms,Buds,40,0,0,0,40,0,1
7/6/2022,Ounces,Buds,190,0,0,0.48,190,0.48,4
7/18/2022,Each,Immature Plants,235.05,14,235.05,0,0,14,8
12/23/2019,Grams,Raw Pre-Rolls,219148.43,0,0,14077.54,219148.43,14077.54,11131
3/10/2019,Each,Concentrate,3440,50,3440,0,0,50,45
4/27/2021,Grams,Shake/Trim (by strain),27355.25,0,0,3807.75,27355.25,3807.75,563
3/23/2022,Grams,Concentrate (Bulk),235.88,0,0,9,235.88,9,9
12/28/2019,Grams,Infused Pre-Rolls,7965.04,0,0,201.93,7965.04,201.93,458
11/10/2022,Grams,Concentrate (Bulk),1131.5,0,0,25.4,1131.5,25.4,34
6/23/2019,Grams,Buds,575489.33,0,0,40076.55,575489.33,40076.55,14538
12/14/2020,Grams,Concentrate,35814.77,0,0,544,35814.77,544,532
4/6/2019,Grams,Buds,532455.41,0,0,37184.63,532455.41,37184.63,15234
4/17/2022,Each,Vape Product,533350.62,10843.5,533350.62,0,0,10843.5,9836
5/22/2019,Each,Concentrate (Each),306548.3,5693,306548.3,0,0,5693,5168
12/12/2020,Grams,Shake/Trim (by strain),8111.35,0,0,556.75,8111.35,556.75,380
10/3/2022,Milligrams,Infused Pre-Rolls,228.47,0,0,11600,228.47,11600,7
9/29/2020,Each,Concentrate (Each),148748.91,2665,148748.91,0,0,2665,2320
9/1/2020,Grams,Infused Pre-Rolls,7958.3,0,0,325.5,7958.3,325.5,303
10/6/2022,Pounds,Buds,60,0,0,0.01,60,0.01,1
9/6/2020,Grams,Shake/Trim,1024,0,0,49.5,1024,49.5,55
6/23/2022,Each,Infused Beverage,42843.72,5284,42843.72,0,0,5284,2661
12/23/2018,Each,Infused (edible),56612.88,2447,56612.88,0,0,2447,1995
11/1/2021,Each,Infused Beverage,20319.06,2502,20319.06,0,0,2502,1354
12/8/2021,Each,Infused (non-edible),13682.09,375,13682.09,0,0,375,288
10/20/2019,Each,Infused (edible),297078.98,9979,297078.98,0,0,9979,7327
5/28/2021,Milligrams,Kief,60,0,0,2000,60,2000,2
