UnitOfMeasureName,SaleDate,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
Grams,7/24/2023,Buds,19114.61,0,0,3041.5,19114.61,3041.5,480
Each,7/29/2023,Infused (edible),4748,198,4748,0,0,198,164
Each,7/24/2023,Infused (edible),634,30,634,0,0,30,27
Each,7/28/2023,Infused (edible),1300.64,58,1300.64,0,0,58,51
Each,7/29/2023,Infused Beverage,1056.8,111,1056.8,0,0,111,58
Grams,7/28/2023,Shake/Trim (by strain),1080,0,0,252,1080,252,15
Each,7/24/2023,Concentrate (Each),206,5,206,0,0,5,3
Each,7/26/2023,Infused (edible),5515.5,282,5515.5,0,0,282,215
Each,7/30/2023,Vape Product,470,15,470,0,0,15,14
Pounds,7/25/2023,Buds,1171.36,0,0,0.69,1171.36,0.69,49
Grams,7/28/2023,Kief,50,0,0,2,50,2,1
Each,7/28/2023,Concentrate (Each),247.15,21,247.15,0,0,21,21
Grams,7/24/2023,Raw Pre-Rolls,3110,0,0,346.55,3110,346.55,203
Each,7/27/2023,Infused (edible),1325.81,55,1325.81,0,0,55,46
Each,7/28/2023,Infused (non-edible),80,2,80,0,0,2,1
Grams,7/28/2023,Shake/Trim (by strain),1748,0,0,413,1748,413,41
Grams,7/24/2023,Kief,44.85,0,0,3,44.85,3,3
Each,7/26/2023,Infused Beverage,621.56,80,621.56,0,0,80,62
Grams,7/24/2023,Shake/Trim (by strain),6073.11,0,0,3094,6073.11,3094,210
Each,7/29/2023,Vape Product,880,24,880,0,0,24,19
Each,7/24/2023,Concentrate (Each),35,1,35,0,0,1,1
Grams,7/27/2023,Shake/Trim (by strain),777.5,0,0,238,777.5,238,29
Each,7/26/2023,Concentrate (Each),650.11,14,650.11,0,0,14,13
Grams,7/28/2023,Buds,2864.5,0,0,262.5,2864.5,262.5,58
Each,7/29/2023,Infused Beverage,54,4,54,0,0,4,4
Grams,7/24/2023,Shake/Trim,16.87,0,0,3.5,16.87,3.5,2
Grams,7/29/2023,Raw Pre-Rolls,3059.64,0,0,378.25,3059.64,378.25,143
Each,7/27/2023,Infused (edible),2293.12,141,2293.12,0,0,141,109
Grams,7/29/2023,Infused Pre-Rolls,345,0,0,11.7,345,11.7,13
Each,7/28/2023,Concentrate (Each),726.5,16,726.5,0,0,16,16
Grams,7/28/2023,Buds,1445.75,0,0,189,1445.75,189,29
Each,7/25/2023,Infused (edible),2710.03,105,2710.03,0,0,105,91
Grams,7/29/2023,Buds,13379.86,0,0,1733.6,13379.86,1733.6,421
Each,7/29/2023,Concentrate (Each),2062,43,2062,0,0,43,40
Grams,7/25/2023,Buds,463,0,0,49,463,49,11
Each,7/28/2023,Concentrate (Each),350.81,19,350.81,0,0,19,18
Grams,7/28/2023,Shake/Trim (by strain),112,0,0,21,112,21,3
Grams,7/25/2023,Buds,3755.25,0,0,542.5,3755.25,542.5,82
Each,7/27/2023,Vape Product,1560.75,42,1560.75,0,0,42,46
Grams,7/25/2023,Buds,10409.51,0,0,1183,10409.51,1183,220
Grams,7/30/2023,Raw Pre-Rolls,1290.5,0,0,100,1290.5,100,72
