UnitOfMeasureName,SaleDate,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
Grams,7/29/2023,Infused Pre-Rolls,1034.61,0,0,46.7,1034.61,46.7,31
Grams,7/26/2023,Buds,14378.17,0,0,1777,14378.17,1777,295
Each,7/27/2023,Concentrate (Each),271,9,271,0,0,9,9
Grams,7/25/2023,Buds,2788.66,0,0,289.5,2788.66,289.5,54
Grams,7/30/2023,Infused Pre-Rolls,231,0,0,11.75,231,11.75,9
Grams,7/26/2023,Shake/Trim (by strain),931.86,0,0,350,931.86,350,35
Grams,7/28/2023,Shake/Trim,35,0,0,7,35,7,1
Grams,7/24/2023,Infused Pre-Rolls,245.6,0,0,15,245.6,15,9
Grams,7/30/2023,Shake/Trim (by strain),290,0,0,70,290,70,10
Each,7/26/2023,Vape Product,3882.01,93,3882.01,0,0,93,84
Each,7/28/2023,Vape Product,342.5,10,342.5,0,0,10,9
Grams,7/29/2023,Shake/Trim (by strain),1808.4,0,0,532,1808.4,532,61
Each,7/24/2023,Infused (edible),2811.08,136,2811.08,0,0,136,98
Grams,7/30/2023,Shake/Trim (by strain),60,0,0,14,60,14,2
Each,7/26/2023,Infused Beverage,7,1,7,0,0,1,1
Each,7/29/2023,Infused Beverage,2178.1,217,2178.1,0,0,217,110
Each,7/26/2023,Concentrate (Each),886.81,31,886.81,0,0,31,30
Grams,7/25/2023,Infused Pre-Rolls,15,0,0,0.58,15,0.58,1
Grams,7/28/2023,Buds,18510.32,0,0,4417,18510.32,4417,480
Grams,7/30/2023,Buds,6938.65,0,0,895.25,6938.65,895.25,167
Each,7/24/2023,Concentrate (Each),276.91,6,276.91,0,0,6,5
Grams,7/24/2023,Raw Pre-Rolls,1542.5,0,0,137,1542.5,137,105
Each,7/29/2023,Vape Product,964.01,24,964.01,0,0,24,22
Grams,7/30/2023,Shake/Trim,90,0,0,28,90,28,1
Grams,7/28/2023,Raw Pre-Rolls,3551.33,0,0,327.3,3551.33,327.3,184
Each,7/29/2023,Concentrate (Each),326.16,7,326.16,0,0,7,6
Grams,7/26/2023,Infused Pre-Rolls,648.01,0,0,38,648.01,38,18
Grams,7/29/2023,Raw Pre-Rolls,1638.28,0,0,153.8,1638.28,153.8,110
Each,7/30/2023,Concentrate (Each),867,32,867,0,0,32,30
Each,7/24/2023,Concentrate (Each),603.32,17,603.32,0,0,17,17
Grams,7/26/2023,Infused Pre-Rolls,466,0,0,24.4,466,24.4,20
Grams,7/27/2023,Shake/Trim,300,0,0,70,300,70,8
Each,7/24/2023,Infused Beverage,74,12,74,0,0,12,7
Each,7/28/2023,Infused (non-edible),57.2,2,57.2,0,0,2,2
Each,7/25/2023,Infused (edible),1664.22,79,1664.22,0,0,79,60
Each,7/24/2023,Vape Product,1057.07,35,1057.07,0,0,35,32
Grams,7/29/2023,Raw Pre-Rolls,3009.6,0,0,334.2,3009.6,334.2,103
Each,7/30/2023,Infused (non-edible),300,5,300,0,0,5,4
Grams,7/26/2023,Kief,30,0,0,1,30,1,1
Grams,7/27/2023,Shake/Trim (by strain),200,0,0,70,200,70,9
Grams,7/26/2023,Shake/Trim,454,0,0,105,454,105,12
Grams,7/24/2023,Shake/Trim,175,0,0,35,175,35,5
Each,7/28/2023,Vape Product,423.37,11,423.37,0,0,11,11
Each,7/30/2023,Concentrate (Each),1161,32,1161,0,0,32,24
Grams,7/30/2023,Infused Pre-Rolls,221,0,0,9.25,221,9.25,8
Each,7/25/2023,Concentrate (Each),504.86,14,504.86,0,0,14,12
Grams,7/28/2023,Buds,930.5,0,0,126,930.5,126,18
Grams,7/25/2023,Raw Pre-Rolls,2063.96,0,0,188.4,2063.96,188.4,141
Grams,7/28/2023,Raw Pre-Rolls,2275.82,0,0,176.25,2275.82,176.25,144
Each,7/26/2023,Vape Product,4031.43,122,4031.43,0,0,122,112
Grams,7/27/2023,Buds,15753.38,0,0,1553.5,15753.38,1553.5,353
Grams,7/24/2023,Shake/Trim,36,0,0,7,36,7,1
Grams,7/29/2023,Raw Pre-Rolls,2250.93,0,0,225,2250.93,225,134
Grams,7/28/2023,Buds,2340.81,0,0,479.5,2340.81,479.5,55
Each,7/29/2023,Vape Product,2936.45,86,2936.45,0,0,86,76
Each,7/25/2023,Concentrate (Each),570,20,570,0,0,20,17
Each,7/25/2023,Vape Product,1604.1,70,1604.1,0,0,70,69
Each,7/29/2023,Infused (edible),721.02,39,721.02,0,0,39,29
Grams,7/25/2023,Raw Pre-Rolls,4109.26,0,0,393,4109.26,393,188
Grams,7/29/2023,Shake/Trim (by strain),205,0,0,42,205,42,6
Each,7/27/2023,Infused (non-edible),29.16,1,29.16,0,0,1,1
Each,7/27/2023,Infused (non-edible),112,4,112,0,0,4,3
Grams,7/25/2023,Shake/Trim,20,0,0,7,20,7,1
Grams,7/27/2023,Buds,5003.69,0,0,733.5,5003.69,733.5,118
Grams,7/28/2023,Infused Pre-Rolls,540,0,0,36,540,36,27
Each,7/25/2023,Concentrate (Each),535,9,535,0,0,9,5
Grams,7/25/2023,Shake/Trim,290,0,0,98,290,98,13
Each,7/30/2023,Infused (edible),521.25,23,521.25,0,0,23,21
Grams,7/26/2023,Buds,1100,0,0,140,1100,140,31
Each,7/28/2023,Infused Beverage,160,23,160,0,0,23,14
Each,7/30/2023,Vape Product,5774.75,165,5774.75,0,0,165,160
Grams,7/24/2023,Shake/Trim,3174.5,0,0,861,3174.5,861,39
Grams,7/25/2023,Buds,5151,0,0,873,5151,873,98
Each,7/28/2023,Concentrate (Each),355.55,13,355.55,0,0,13,10
Each,7/25/2023,Concentrate (Each),1020,31,1020,0,0,31,29
Each,7/25/2023,Infused (edible),1904.6,104,1904.6,0,0,104,76
Grams,7/25/2023,Infused Pre-Rolls,85.21,0,0,2,85.21,2,5
Grams,7/26/2023,Infused Pre-Rolls,335,0,0,14.2,335,14.2,7
Each,7/27/2023,Infused (non-edible),90,3,90,0,0,3,2
Each,7/28/2023,Infused Beverage,6,3,6,0,0,3,3
Grams,7/27/2023,Infused Pre-Rolls,185,0,0,10,185,10,6
Grams,7/24/2023,Raw Pre-Rolls,1150.62,0,0,102.01,1150.62,102.01,66
Grams,7/25/2023,Buds,31687.12,0,0,3557.5,31687.12,3557.5,631
Grams,7/29/2023,Buds,6977.83,0,0,869,6977.83,869,188
Each,7/24/2023,Infused Beverage,211,27,211,0,0,27,13
Each,7/30/2023,Concentrate (Each),1667,42,1667,0,0,42,34
Each,7/24/2023,Infused (edible),375.8,18,375.8,0,0,18,15
Grams,7/29/2023,Concentrate,85,0,0,2,85,2,2
Grams,7/26/2023,Shake/Trim (by strain),466.62,0,0,98,466.62,98,13
Grams,7/30/2023,Infused Pre-Rolls,80,0,0,4.15,80,4.15,4
Grams,7/29/2023,Buds,1628.5,0,0,235.05,1628.5,235.05,44
Each,7/26/2023,Concentrate (Each),257,8,257,0,0,8,6
Grams,7/29/2023,Raw Pre-Rolls,2492.93,0,0,222.45,2492.93,222.45,159
Each,7/27/2023,Infused (non-edible),120,3,120,0,0,3,3
Each,7/29/2023,Concentrate (Each),617.69,17,617.69,0,0,17,16
Grams,7/30/2023,Buds,4214.6,0,0,787.4,4214.6,787.4,154
Each,7/30/2023,Vape Product,3712,74,3712,0,0,74,72
Each,7/29/2023,Infused Beverage,5,1,5,0,0,1,1
Each,7/29/2023,Infused Beverage,317,55,317,0,0,55,22
Each,7/30/2023,Infused Beverage,2586.58,408,2586.58,0,0,408,118
Each,7/24/2023,Concentrate (Each),250,2,250,0,0,2,2
Grams,7/27/2023,Concentrate,40,0,0,1,40,1,1
Grams,7/28/2023,Shake/Trim,820,0,0,182,820,182,15
Each,7/28/2023,Concentrate (Each),3493.67,110,3493.67,0,0,110,87
Grams,7/27/2023,Buds,7433,0,0,885,7433,885,167
Grams,7/27/2023,Raw Pre-Rolls,2195.54,0,0,211.3,2195.54,211.3,156
Grams,7/26/2023,Shake/Trim (by strain),395,0,0,91,395,91,13
Each,7/26/2023,Vape Product,995.01,26,995.01,0,0,26,16
Each,7/26/2023,Vape Product,6960.05,163,6960.05,0,0,163,144
Each,7/29/2023,Infused Beverage,57.64,9,57.64,0,0,9,7
Each,7/27/2023,Infused (edible),6288.28,300,6288.28,0,0,300,236
Grams,7/30/2023,Infused Pre-Rolls,847.5,0,0,39,847.5,39,33
Each,7/29/2023,Infused Beverage,21,4,21,0,0,4,5
Grams,7/28/2023,Raw Pre-Rolls,4296.55,0,0,340.5,4296.55,340.5,170
Each,7/27/2023,Concentrate (Each),783.2,22,783.2,0,0,22,19
Each,7/27/2023,Concentrate (Each),4636.59,98,4636.59,0,0,98,86
Grams,7/25/2023,Buds,741.06,0,0,94.5,741.06,94.5,19
Each,7/28/2023,Concentrate (Each),3096.5,81,3096.5,0,0,81,72
Grams,7/29/2023,Shake/Trim (by strain),69.58,0,0,28,69.58,28,1
Each,7/29/2023,Infused (edible),1795,84,1795,0,0,84,61
Each,7/24/2023,Infused (non-edible),158,3,158,0,0,3,3
Grams,7/28/2023,Shake/Trim (by strain),140,0,0,28,140,28,4
Grams,7/29/2023,Buds,4212.22,0,0,698,4212.22,698,171
Each,7/26/2023,Vape Product,844.38,19,844.38,0,0,19,18
Grams,7/25/2023,Infused Pre-Rolls,300,0,0,14,300,14,9
Grams,7/29/2023,Concentrate (Bulk),45,0,0,1,45,1,1
Each,7/29/2023,Concentrate (Each),92.34,5,92.34,0,0,5,4
Each,7/29/2023,Infused (edible),473.5,22,473.5,0,0,22,19
Grams,7/26/2023,Concentrate,375,0,0,10.5,375,10.5,3
Each,7/26/2023,Concentrate (Each),955,25,955,0,0,25,20
Each,7/25/2023,Vape Product,750,14,750,0,0,14,14
Grams,7/30/2023,Buds,2446.26,0,0,261.5,2446.26,261.5,41
Grams,7/28/2023,Buds,81639.45,0,0,21385.85,81639.45,21385.85,1704
Each,7/30/2023,Concentrate (Each),62,3,62,0,0,3,3
Each,7/30/2023,Concentrate (Each),660,12,660,0,0,12,9
Grams,7/27/2023,Infused Pre-Rolls,187.23,0,0,7.5,187.23,7.5,8
Each,7/26/2023,Infused (edible),281.01,19,281.01,0,0,19,18
Each,7/25/2023,Infused Beverage,14,2,14,0,0,2,2
Each,7/28/2023,Infused Beverage,61,11,61,0,0,11,5
Each,7/25/2023,Vape Product,825.65,26,825.65,0,0,26,24
Grams,7/27/2023,Raw Pre-Rolls,1559.36,0,0,159,1559.36,159,106
Each,7/25/2023,Infused (edible),1324,184,1324,0,0,184,142
Each,7/27/2023,Concentrate (Each),1662.5,31,1662.5,0,0,31,30
Grams,7/26/2023,Raw Pre-Rolls,1087.01,0,0,91.1,1087.01,91.1,83
Grams,7/27/2023,Infused Pre-Rolls,1356,0,0,61.07,1356,61.07,48
Each,7/29/2023,Infused (edible),1125.5,65,1125.5,0,0,65,55
Each,7/26/2023,Infused Beverage,198.95,31,198.95,0,0,31,20
Each,7/28/2023,Concentrate (Each),90,3,90,0,0,3,3
Grams,7/26/2023,Raw Pre-Rolls,1387,0,0,141.5,1387,141.5,79
Grams,7/25/2023,Shake/Trim,360,0,0,63,360,63,8
Grams,7/27/2023,Shake/Trim,402,0,0,77,402,77,9
Grams,7/26/2023,Shake/Trim,315,0,0,63,315,63,10
Grams,7/26/2023,Infused Pre-Rolls,160,0,0,8,160,8,5
Each,7/26/2023,Concentrate (Each),1570.5,44,1570.5,0,0,44,38
Grams,7/29/2023,Buds,6012.75,0,0,773.5,6012.75,773.5,156
Grams,7/28/2023,Buds,8589.87,0,0,1109.5,8589.87,1109.5,223
Each,7/27/2023,Vape Product,10661.19,233,10661.19,0,0,233,223
Each,7/30/2023,Infused (edible),6479.26,364,6479.26,0,0,364,243
Each,7/30/2023,Infused Beverage,133.1,24,133.1,0,0,24,8
Each,7/24/2023,Infused (non-edible),56,1,56,0,0,1,1
Each,7/24/2023,Infused Beverage,238.04,41,238.04,0,0,41,17
Grams,7/28/2023,Kief,120,0,0,7,120,7,3
Each,7/27/2023,Infused (non-edible),0.01,3,0.01,0,0,3,1
Grams,7/28/2023,Raw Pre-Rolls,2530.17,0,0,207.3,2530.17,207.3,152
Grams,7/26/2023,Buds,6999,0,0,1149.84,6999,1149.84,193
Grams,7/30/2023,Buds,5488.24,0,0,539.5,5488.24,539.5,104
Grams,7/25/2023,Raw Pre-Rolls,645,0,0,58,645,58,41
Grams,7/24/2023,Raw Pre-Rolls,975.26,0,0,78.7,975.26,78.7,76
Grams,7/28/2023,Raw Pre-Rolls,2442,0,0,348.75,2442,348.75,203
Each,7/26/2023,Infused (edible),2010.32,119,2010.32,0,0,119,72
Each,7/25/2023,Infused Beverage,233,14,233,0,0,14,13
Grams,7/29/2023,Shake/Trim (by strain),70,0,0,14,70,14,2
Grams,7/26/2023,Infused Pre-Rolls,100,0,0,5,100,5,1
Grams,7/27/2023,Raw Pre-Rolls,1813.02,0,0,175.5,1813.02,175.5,117
Grams,7/27/2023,Buds,5984.65,0,0,1182,5984.65,1182,97
Grams,7/27/2023,Raw Pre-Rolls,5888.82,0,0,668.5,5888.82,668.5,282
Each,7/28/2023,Concentrate (Each),745,28,745,0,0,28,27
Grams,7/24/2023,Concentrate,525,0,0,16,525,16,13
Each,7/25/2023,Infused (edible),687.5,35,687.5,0,0,35,28
Grams,7/28/2023,Shake/Trim,2,0,0,2,2,2,2
Grams,7/26/2023,Raw Pre-Rolls,827.01,0,0,82.75,827.01,82.75,57
Grams,7/25/2023,Raw Pre-Rolls,1668.36,0,0,164.8,1668.36,164.8,136
Grams,7/24/2023,Shake/Trim,80,0,0,14,80,14,2
Grams,7/27/2023,Buds,3623,0,0,581,3623,581,80
Grams,7/25/2023,Buds,33970,0,0,4432.5,33970,4432.5,581
Grams,7/27/2023,Shake/Trim (by strain),460.5,0,0,217,460.5,217,28
Each,7/26/2023,Infused Beverage,67,13,67,0,0,13,7
Grams,7/28/2023,Infused Pre-Rolls,599.63,0,0,31.15,599.63,31.15,44
Each,7/30/2023,Infused Beverage,7,1,7,0,0,1,1
Each,7/24/2023,Vape Product,1405,23,1405,0,0,23,20
Each,7/27/2023,Concentrate (Each),650.71,50,650.71,0,0,50,49
Grams,7/27/2023,Concentrate,42.5,0,0,4.5,42.5,4.5,2
Each,7/26/2023,Concentrate (Each),45,1,45,0,0,1,1
Each,7/26/2023,Concentrate (Each),785,18,785,0,0,18,15
Grams,7/24/2023,Raw Pre-Rolls,740.93,0,0,73.5,740.93,73.5,48
Each,7/26/2023,Concentrate (Each),292.5,7,292.5,0,0,7,3
Grams,7/28/2023,Infused Pre-Rolls,180,0,0,11,180,11,6
Grams,7/27/2023,Infused Pre-Rolls,945.2,0,0,48.1,945.2,48.1,46
Each,7/27/2023,Vape Product,1984.11,45,1984.11,0,0,45,44
Grams,7/24/2023,Kief,20,0,0,1,20,1,1
Grams,7/26/2023,Buds,6815.45,0,0,855,6815.45,855,352
Grams,7/28/2023,Buds,5259.17,0,0,562.5,5259.17,562.5,191
Each,7/24/2023,Infused Beverage,34.16,5,34.16,0,0,5,5
Grams,7/28/2023,Raw Pre-Rolls,3107.18,0,0,284.5,3107.18,284.5,186
Each,7/28/2023,Infused Beverage,208.16,35,208.16,0,0,35,19
Grams,7/28/2023,Shake/Trim (by strain),580,0,0,112,580,112,15
Each,7/24/2023,Concentrate (Each),23.45,1,23.45,0,0,1,1
Grams,7/29/2023,Infused Pre-Rolls,915,0,0,36.3,915,36.3,28
Each,7/25/2023,Vape Product,3386,70,3386,0,0,70,68
Each,7/29/2023,Infused (edible),564.4,28,564.4,0,0,28,24
Grams,7/24/2023,Shake/Trim,40,0,0,14,40,14,2
Grams,7/24/2023,Buds,5560.4,0,0,701.5,5560.4,701.5,155
Grams,7/30/2023,Buds,15970.92,0,0,2639,15970.92,2639,271
Each,7/27/2023,Vape Product,3308.34,128,3308.34,0,0,128,120
Grams,7/30/2023,Infused Pre-Rolls,28,0,0,1.2,28,1.2,1
Each,7/26/2023,Concentrate (Each),173.5,5,173.5,0,0,5,4
Grams,7/29/2023,Raw Pre-Rolls,2261.96,0,0,219,2261.96,219,139
Each,7/24/2023,Infused Beverage,112,19,112,0,0,19,6
Grams,7/27/2023,Kief,28.65,0,0,1,28.65,1,1
Each,7/25/2023,Infused Beverage,42,3,42,0,0,3,3
Grams,7/30/2023,Shake/Trim (by strain),30,0,0,7,30,7,1
Grams,7/25/2023,Raw Pre-Rolls,2875.71,0,0,244,2875.71,244,118
Each,7/29/2023,Infused Beverage,607,88,607,0,0,88,34
Grams,7/30/2023,Buds,3300,0,0,348,3300,348,76
Grams,7/27/2023,Concentrate,90,0,0,2,90,2,2
Grams,7/24/2023,Raw Pre-Rolls,1964.5,0,0,204.6,1964.5,204.6,120
Each,7/24/2023,Concentrate (Each),300,6,300,0,0,6,4
Grams,7/26/2023,Buds,3767.86,0,0,441,3767.86,441,66
Each,7/26/2023,Infused Beverage,233,30,233,0,0,30,18
Each,7/24/2023,Infused Beverage,32.61,16,32.61,0,0,16,16
Grams,7/24/2023,Raw Pre-Rolls,5022.05,0,0,485.5,5022.05,485.5,309
Each,7/29/2023,Infused (non-edible),160,4,160,0,0,4,4
Each,7/30/2023,Infused (edible),2215.25,122,2215.25,0,0,122,94
Grams,7/25/2023,Raw Pre-Rolls,7846.77,0,0,864,7846.77,864,410
Grams,7/24/2023,Infused Pre-Rolls,550,0,0,27.5,550,27.5,8
Each,7/27/2023,Vape Product,3530,109,3530,0,0,109,105
Each,7/27/2023,Concentrate (Each),462,10,462,0,0,10,9
Each,7/26/2023,Concentrate (Each),2263,55,2263,0,0,55,45
Each,7/30/2023,Infused (edible),156,10,156,0,0,10,9
Grams,7/29/2023,Shake/Trim (by strain),200,0,0,42,200,42,3
Grams,7/28/2023,Infused Pre-Rolls,112,0,0,8,112,8,7
Grams,7/30/2023,Infused Pre-Rolls,299.2,0,0,18.75,299.2,18.75,18
Each,7/26/2023,Vape Product,2037.41,70,2037.41,0,0,70,68
Grams,7/29/2023,Shake/Trim (by strain),532,0,0,98,532,98,13
Each,7/29/2023,Infused Beverage,247.26,20,247.26,0,0,20,17
Each,7/28/2023,Vape Product,1080.03,43,1080.03,0,0,43,35
Each,7/30/2023,Vape Product,955,19,955,0,0,19,19
Grams,7/28/2023,Raw Pre-Rolls,11271.01,0,0,1299.5,11271.01,1299.5,859
Grams,7/27/2023,Buds,2353,0,0,326.5,2353,326.5,50
Each,7/26/2023,Vape Product,5723.79,161,5723.79,0,0,161,152
Grams,7/27/2023,Concentrate (Bulk),90,0,0,2,90,2,2
Grams,7/27/2023,Raw Pre-Rolls,9032.66,0,0,1085.5,9032.66,1085.5,769
Each,7/27/2023,Immature Plants,394.5,8,394.5,0,0,8,7
Grams,7/26/2023,Shake/Trim (by strain),70,0,0,14,70,14,1
Grams,7/30/2023,Buds,5363.1,0,0,685,5363.1,685,100
Each,7/26/2023,Vape Product,3186.17,143,3186.17,0,0,143,121
Each,7/28/2023,Infused (edible),4786.76,201,4786.76,0,0,201,154
Each,7/30/2023,Infused (edible),3929,154,3929,0,0,154,133
Grams,7/28/2023,Shake/Trim (by strain),60,0,0,6,60,6,4
Each,7/26/2023,Vape Product,2381.51,112,2381.51,0,0,112,95
Grams,7/30/2023,Shake/Trim (by strain),867,0,0,203,867,203,22
Each,7/28/2023,Infused (edible),3459.76,218,3459.76,0,0,218,170
Each,7/24/2023,Infused (edible),714,33,714,0,0,33,25
Each,7/25/2023,Infused (non-edible),510,18,510,0,0,18,5
Grams,7/28/2023,Infused Pre-Rolls,96.68,0,0,4.6,96.68,4.6,4
Each,7/27/2023,Infused Beverage,109,15,109,0,0,15,7
Grams,7/26/2023,Raw Pre-Rolls,4205.6,0,0,435.5,4205.6,435.5,297
Grams,7/29/2023,Raw Pre-Rolls,6245.08,0,0,504.1,6245.08,504.1,488
Each,7/30/2023,Concentrate (Each),99.6,6,99.6,0,0,6,4
Grams,7/25/2023,Kief,30,0,0,1,30,1,1
Grams,7/28/2023,Buds,1242.01,0,0,206.4,1242.01,206.4,52
Each,7/30/2023,Concentrate (Each),405,11,405,0,0,11,11
Each,7/27/2023,Vape Product,2874.4,55,2874.4,0,0,55,50
Each,7/24/2023,Vape Product,3027,69,3027,0,0,69,62
Each,7/25/2023,Concentrate (Each),561.51,20,561.51,0,0,20,18
Grams,7/27/2023,Infused Pre-Rolls,1093.01,0,0,58.74,1093.01,58.74,54
Grams,7/26/2023,Raw Pre-Rolls,4646,0,0,474.2,4646,474.2,266
Grams,7/29/2023,Shake/Trim (by strain),40,0,0,7,40,7,1
Each,7/27/2023,Infused (edible),2659,115,2659,0,0,115,78
Each,7/26/2023,Vape Product,760,11,760,0,0,11,6
Grams,7/26/2023,Infused Pre-Rolls,527,0,0,23.15,527,23.15,20
Each,7/24/2023,Infused Beverage,45,3,45,0,0,3,3
Each,7/30/2023,Concentrate (Each),120.03,7,120.03,0,0,7,7
Each,7/25/2023,Concentrate (Each),290,7,290,0,0,7,7
Each,7/28/2023,Infused Beverage,54.17,10,54.17,0,0,10,6
Each,7/28/2023,Infused (non-edible),40,1,40,0,0,1,1
Each,7/27/2023,Concentrate (Each),255,8,255,0,0,8,8
Each,7/30/2023,Infused (edible),1476,81,1476,0,0,81,60
Grams,7/29/2023,Concentrate,526.66,0,0,18.5,526.66,18.5,6
Grams,7/26/2023,Shake/Trim (by strain),395,0,0,91,395,91,7
Grams,7/28/2023,Shake/Trim (by strain),10,0,0,1,10,1,1
Grams,7/25/2023,Shake/Trim,60,0,0,4,60,4,3
Each,7/30/2023,Infused (edible),830.5,51,830.5,0,0,51,38
Each,7/25/2023,Vape Product,8288.5,214,8288.5,0,0,214,189
Grams,7/27/2023,Raw Pre-Rolls,3784.31,0,0,729.4,3784.31,729.4,491
Each,7/28/2023,Concentrate (Each),690.8,16,690.8,0,0,16,15
Grams,7/27/2023,Kief,337,0,0,17,337,17,11
Grams,7/26/2023,Raw Pre-Rolls,2140.18,0,0,215.5,2140.18,215.5,142
Each,7/25/2023,Infused (non-edible),25,1,25,0,0,1,1
Grams,7/24/2023,Buds,1815.59,0,0,217.5,1815.59,217.5,53
Grams,7/26/2023,Concentrate,317.09,0,0,10,317.09,10,5
Grams,7/29/2023,Raw Pre-Rolls,4741.45,0,0,729.25,4741.45,729.25,531
Grams,7/25/2023,Raw Pre-Rolls,2441.66,0,0,250.9,2441.66,250.9,178
Each,7/28/2023,Concentrate (Each),382.51,13,382.51,0,0,13,11
Grams,7/25/2023,Raw Pre-Rolls,1941.21,0,0,173.9,1941.21,173.9,157
Each,7/25/2023,Infused Beverage,43.93,4,43.93,0,0,4,4
Each,7/24/2023,Concentrate (Each),99,3,99,0,0,3,3
Grams,7/29/2023,Infused Pre-Rolls,200,0,0,14.5,200,14.5,7
Each,7/27/2023,Infused Beverage,208,31,208,0,0,31,17
Each,7/25/2023,Vape Product,2550.05,74,2550.05,0,0,74,64
Each,7/24/2023,Infused (edible),279.75,17,279.75,0,0,17,15
Each,7/26/2023,Infused Beverage,23.3,1,23.3,0,0,1,1
Grams,7/25/2023,Raw Pre-Rolls,1309,0,0,138.05,1309,138.05,66
Each,7/24/2023,Concentrate (Each),764.8,17,764.8,0,0,17,17
Grams,7/27/2023,Infused Pre-Rolls,262.17,0,0,13,262.17,13,13
Each,7/28/2023,Concentrate (Each),1850,33,1850,0,0,33,30
Each,7/24/2023,Infused Beverage,94,5,94,0,0,5,5
Grams,7/29/2023,Infused Pre-Rolls,78.34,0,0,4.1,78.34,4.1,3
Each,7/25/2023,Infused Beverage,263.6,18,263.6,0,0,18,16
Grams,7/28/2023,Raw Pre-Rolls,2325.41,0,0,140.5,2325.41,140.5,93
Grams,7/29/2023,Raw Pre-Rolls,2072.28,0,0,175.6,2072.28,175.6,135
Grams,7/24/2023,Shake/Trim (by strain),280,0,0,49,280,49,5
Grams,7/26/2023,Raw Pre-Rolls,1202.52,0,0,97.3,1202.52,97.3,68
Grams,7/29/2023,Kief,285,0,0,13,285,13,6
Each,7/27/2023,Vape Product,1014.76,24,1014.76,0,0,24,24
Each,7/28/2023,Infused (non-edible),59.77,1,59.77,0,0,1,1
Each,7/26/2023,Infused Beverage,19.5,3,19.5,0,0,3,2
Grams,7/29/2023,Buds,4765.95,0,0,493.5,4765.95,493.5,106
Grams,7/26/2023,Buds,3165,0,0,479.5,3165,479.5,86
Each,7/30/2023,Concentrate (Each),110,3,110,0,0,3,3
Grams,7/26/2023,Raw Pre-Rolls,2217.98,0,0,201,2217.98,201,111
Each,7/28/2023,Infused (edible),1118.04,60,1118.04,0,0,60,51
Each,7/30/2023,Concentrate (Each),974.54,38,974.54,0,0,38,31
Grams,7/24/2023,Buds,2718,0,0,276,2718,276,65
Each,7/28/2023,Infused (edible),1076.57,67,1076.57,0,0,67,55
Grams,7/29/2023,Buds,15105.98,0,0,1907.5,15105.98,1907.5,330
Each,7/28/2023,Concentrate (Each),312,7,312,0,0,7,6
Grams,7/28/2023,Buds,5255.59,0,0,539,5255.59,539,114
Each,7/24/2023,Concentrate (Each),1960.4,38,1960.4,0,0,38,33
Grams,7/30/2023,Buds,984.5,0,0,119,984.5,119,28
Each,7/30/2023,Vape Product,1365,38,1365,0,0,38,33
Grams,7/27/2023,Buds,9534.75,0,0,1503.25,9534.75,1503.25,238
Grams,7/25/2023,Buds,18682.81,0,0,3597,18682.81,3597,666
Grams,7/27/2023,Raw Pre-Rolls,2136.39,0,0,339,2136.39,339,214
Grams,7/28/2023,Concentrate (Bulk),48,0,0,1,48,1,1
Each,7/26/2023,Infused (edible),1921,133,1921,0,0,133,102
Grams,7/27/2023,Infused Pre-Rolls,115,0,0,4.6,115,4.6,4
Each,7/29/2023,Infused (edible),803.66,34,803.66,0,0,34,27
Grams,7/28/2023,Raw Pre-Rolls,1600,0,0,242,1600,242,108
Each,7/28/2023,Infused Beverage,49,7,49,0,0,7,4
Grams,7/28/2023,Raw Pre-Rolls,8990.95,0,0,714.15,8990.95,714.15,389
Each,7/25/2023,Concentrate (Each),450,9,450,0,0,9,9
Grams,7/27/2023,Infused Pre-Rolls,375,0,0,36,375,36,22
Each,7/26/2023,Vape Product,94.25,4,94.25,0,0,4,4
Each,7/30/2023,Infused (edible),220.65,10,220.65,0,0,10,10
Grams,7/29/2023,Infused Pre-Rolls,735,0,0,52.5,735,52.5,17
Each,7/30/2023,Vape Product,826.22,21,826.22,0,0,21,17
Each,7/29/2023,Vape Product,6226.34,194,6226.34,0,0,194,176
Each,7/30/2023,Infused (non-edible),136,3,136,0,0,3,3
Grams,7/27/2023,Infused Pre-Rolls,528.15,0,0,32.85,528.15,32.85,19
Each,7/27/2023,Infused Beverage,65,12,65,0,0,12,7
Grams,7/27/2023,Buds,2516.77,0,0,224,2516.77,224,59
Grams,7/28/2023,Buds,1774.5,0,0,278.5,1774.5,278.5,48
Each,7/27/2023,Infused Beverage,284,42,284,0,0,42,28
Each,7/24/2023,Infused (edible),941.71,61,941.71,0,0,61,48
Each,7/26/2023,Concentrate (Each),395,7,395,0,0,7,7
Each,7/26/2023,Concentrate (Each),605,21,605,0,0,21,20
Each,7/27/2023,Infused Beverage,275,43,275,0,0,43,13
Grams,7/27/2023,Concentrate,411.02,0,0,17.5,411.02,17.5,9
Each,7/27/2023,Infused (non-edible),75,2,75,0,0,2,2
Each,7/24/2023,Vape Product,2417.01,57,2417.01,0,0,57,56
Each,7/24/2023,Concentrate (Each),1960.35,55,1960.35,0,0,55,52
Grams,7/29/2023,Infused Pre-Rolls,435.23,0,0,29,435.23,29,25
Grams,7/26/2023,Shake/Trim,197.75,0,0,42,197.75,42,6
Each,7/24/2023,Vape Product,3505.45,107,3505.45,0,0,107,98
