SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
4/14/2023,Grams,Kief,753.2,0,0,44,753.2,44,29
3/26/2020,Each,Concentrate (Each),47940.23,1098,47940.23,0,0,1098,894
12/5/2019,Each,Concentrate (Each),56409.86,1403,56409.86,0,0,1403,1146
9/14/2019,Grams,Raw Pre-Rolls,40952.81,0,0,4014.84,40952.81,4014.84,2244
9/23/2022,Each,Infused Beverage,8647.49,1081,8647.49,0,0,1081,480
6/25/2021,Grams,Shake/Trim,494.5,0,0,89.75,494.5,89.75,8
3/28/2023,Grams,Buds,259773.96,0,0,40529.15,259773.96,40529.15,5961
1/1/2022,Each,Infused (edible),38401.16,2526,38401.16,0,0,2526,1153
2/19/2020,Grams,Infused Pre-Rolls,1932.56,0,0,94.4,1932.56,94.4,88
9/30/2021,Each,Infused (non-edible),5373.86,175,5373.86,0,0,175,130
6/3/2023,Grams,Concentrate (Bulk),153.75,0,0,5,153.75,5,5
1/25/2021,Each,Infused (non-edible),4260.44,144,4260.44,0,0,144,106
6/13/2020,Grams,Kief,1324.08,0,0,79,1324.08,79,34
1/18/2023,Grams,Concentrate (Bulk),197.69,0,0,5,197.69,5,8
6/4/2022,Each,Infused (edible),105665.19,4489,105665.19,0,0,4489,2967
7/5/2021,Grams,Shake/Trim (by strain),4547.13,0,0,852.55,4547.13,852.55,131
7/12/2019,Each,Infused (edible),90840.19,3191,90840.19,0,0,3191,2059
9/28/2022,Grams,Concentrate (Bulk),268.72,0,0,5,268.72,5,6
2/26/2020,Grams,Concentrate,10368.36,0,0,206,10368.36,206,186
4/1/2022,Grams,Raw Pre-Rolls,124754.88,0,0,11823.35,124754.88,11823.35,6433
12/11/2022,Grams,Shake/Trim,56.25,0,0,14.3,56.25,14.3,3
2/15/2020,Grams,Kief,345.79,0,0,12,345.79,12,10
4/12/2020,Grams,Raw Pre-Rolls,21989.62,0,0,2005.95,21989.62,2005.95,1157
12/18/2021,Grams,Concentrate,2668.1,0,0,65.5,2668.1,65.5,52
7/14/2021,Grams,Infused Pre-Rolls,3754.38,0,0,172.62,3754.38,172.62,134
5/20/2019,Grams,Shake/Trim (by strain),763.12,0,0,64.5,763.12,64.5,49
12/14/2022,Grams,Kief,311.1,0,0,24,311.1,24,23
5/17/2022,Grams,Concentrate,1389.8,0,0,37,1389.8,37,23
3/6/2023,Each,Infused (edible),92771.5,5271,92771.5,0,0,5271,2768
6/14/2021,Grams,Kief,1394.76,0,0,75.04,1394.76,75.04,41
2/15/2022,Grams,Infused Pre-Rolls,6784.88,0,0,319.06,6784.88,319.06,189
8/19/2021,Each,Concentrate (Each),72864.96,1693,72864.96,0,0,1693,1368
1/1/2023,Grams,Raw Pre-Rolls,35059.5,0,0,4488.46,35059.5,4488.46,2149
8/30/2020,Each,Vape Product,89828.97,1860,89828.97,0,0,1860,1567
7/29/2023,Each,Infused Beverage,8207.41,1335,8207.41,0,0,1335,523
7/2/2020,Each,Infused (non-edible),7776.48,241,7776.48,0,0,241,161
1/6/2022,Grams,Shake/Trim,21.95,0,0,3.75,21.95,3.75,2
6/28/2019,Grams,Concentrate,7718.48,0,0,176.5,7718.48,176.5,205
11/29/2022,Grams,Buds,232951.81,0,0,34544.08,232951.81,34544.08,5129
2/8/2020,Grams,Shake/Trim (by strain),2003.07,0,0,225.5,2003.07,225.5,111
1/23/2020,Grams,Shake/Trim (by strain),2015.45,0,0,187,2015.45,187,111
1/18/2022,Each,Concentrate (Each),55524.08,1556,55524.08,0,0,1556,1168
5/7/2020,Each,Infused (non-edible),9705.07,311,9705.07,0,0,311,233
9/2/2019,Each,Infused (non-edible),5414.19,167,5414.19,0,0,167,140
2/8/2020,Each,Infused (edible),93096.64,3147,93096.64,0,0,3147,2146
2/18/2021,Each,Infused (edible),130000.23,4043,130000.23,0,0,4043,2842
12/14/2020,Each,Concentrate (Each),46138.75,1169,46138.75,0,0,1169,869
11/8/2020,Grams,Infused Pre-Rolls,2851.69,0,0,137.14,2851.69,137.14,112
5/27/2021,Grams,Infused Pre-Rolls,5298,0,0,252.2,5298,252.2,149
4/4/2019,Grams,Concentrate,1002.54,0,0,37.4,1002.54,37.4,17
4/29/2021,Each,Concentrate (Each),67054.13,1525,67054.13,0,0,1525,1292
3/16/2022,Each,Suppository,193.57,4,193.57,0,0,4,3
1/13/2021,Each,Vape Product,118360.29,2547,118360.29,0,0,2547,2088
4/23/2021,Grams,Raw Pre-Rolls,102331.85,0,0,8833.7,102331.85,8833.7,4935
9/27/2020,Grams,Shake/Trim (by strain),3457.64,0,0,522.5,3457.64,522.5,111
10/12/2019,Each,Infused (non-edible),8787.38,261,8787.38,0,0,261,200
5/30/2021,Grams,Buds,347122.01,0,0,32781.43,347122.01,32781.43,6962
4/18/2022,Grams,Shake/Trim,449.46,0,0,65.4,449.46,65.4,11
