SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
9/25/2019,Concentrate,Grams,0,0,139.75,7596.38,139.75,7596.38
4/30/2023,Shake/Trim (by strain),Grams,0,0,1139.5,3903.09,1139.5,3903.09
6/13/2023,Infused (edible),Each,4192,82719.66,0,0,4192,82719.66
10/21/2022,Concentrate,Grams,0,0,66.08,2511.93,66.08,2511.93
4/10/2023,Raw Pre-Rolls,Grams,0,0,8857.9,72173.95,8857.9,72173.95
10/5/2021,Shake/Trim,Grams,0,0,473.4,2543.57,473.4,2543.57
7/24/2020,Infused (edible),Each,4490,142673.23,0,0,4490,142673.23
6/21/2021,Vape Product,Each,2715,126065.45,0,0,2715,126065.45
6/26/2020,Kief,Grams,0,0,84.28,1693.24,84.28,1693.24
11/21/2020,Infused (edible),Each,4700,144510.6,0,0,4700,144510.6
4/1/2023,Kief,Grams,0,0,63,1177.6,63,1177.6
8/25/2022,Shake/Trim (by strain),Grams,0,0,3739.6,14013.92,3739.6,14013.92
5/25/2020,Vape Product,Each,1293,62721.43,0,0,1293,62721.43
4/13/2021,Infused Beverage,Each,727,5422.03,0,0,727,5422.03
7/4/2021,Concentrate,Grams,0,0,27,1314.27,27,1314.27
6/8/2023,Infused (non-edible),Each,75,2071.17,0,0,75,2071.17
