SALE_PERIOD,TOTAL_$,PRODUCT_CATEGORY,UNIT_OF_MEASURE,TOTAL_UNITS,CCC Last Updated,CountBasedTotal,DollarCountBasedTotal,DollarWeightBasedTotal,Quantity,WeightBasedTotal
2018-11-20 -2023-04-16,271557.96,Buds,Grams,6212,4/24/2023,0,0,271557.96,30263.69,30263.69
2023-04-18,564.05,Infused (edible),Each,22,4/24/2023,,564.05,0,26,0
2023-04-20,2841.33,Infused (edible),Each,124,4/24/2023,,2841.33,0,177,0
2023-04-19,1923,Infused (edible),Each,69,4/24/2023,,1923,0,81,0
2018-11-20 -2023-04-16,56449.98,Concentrate,Grams,924,4/24/2023,0,0,56449.98,931,931
2018-11-20 -2023-04-16,11444.16,Infused Pre-Rolls,Grams,392,4/24/2023,0,0,11444.16,445.2,445.2
2023-04-18,321.5,Concentrate (Each),Each,8,4/24/2023,,321.5,0,8,0
2023-04-19,36.6,Infused Beverage,Each,5,4/24/2023,,36.6,0,8,0
2023-04-18,360,Concentrate (Each),Each,6,4/24/2023,,360,0,6,0
2023-04-19,3255.6,Raw Pre-Rolls,Grams,228,4/24/2023,,0,3255.6,295,295
2023-04-23,337,Infused (edible),Each,12,4/24/2023,,337,0,14,0
2023-04-17,471.75,Raw Pre-Rolls,Grams,26,4/24/2023,,0,471.75,83,83
2023-04-21,930.82,Concentrate (Each),Each,15,4/24/2023,,930.82,0,18,0
2023-04-20,9257.65,Buds,Grams,334,4/24/2023,,0,9257.65,1399,1399
2023-04-22,504,Shake/Trim (by strain),Grams,16,4/24/2023,,0,504,126,126
2023-04-20,9630.75,Buds,Grams,198,4/24/2023,,0,9630.75,1431.5,1431.5
2023-04-17,182,Concentrate (Each),Each,4,4/24/2023,,182,0,4,0
2018-11-20 -2023-04-16,99325.35,Concentrate (Each),Each,2276,4/24/2023,2246,99325.35,0,2472,0
2018-11-20 -2023-04-16,1422559.43,Vape Product,Each,28424,4/24/2023,25551,1422559.43,0,29810,0
2023-04-20,446,Infused Pre-Rolls,Grams,15,4/24/2023,,0,446,13.4,13.4
2018-11-20 -2023-04-16,552723.22,Infused (edible),Each,23946,4/24/2023,26329,552723.22,0,27805,0
2023-04-17,30,Concentrate (Bulk),Grams,1,4/24/2023,,0,30,1,1
2023-04-20,4983.82,Infused (edible),Each,224,4/24/2023,,4983.82,0,291,0
2023-04-22,76.51,Infused (non-edible),Each,3,4/24/2023,,76.51,0,3,0
2023-04-23,770,Concentrate (Each),Each,13,4/24/2023,,770,0,13,0
2023-04-19,50,Infused (non-edible),Each,1,4/24/2023,,50,0,2,0
2023-04-21,882.66,Concentrate (Each),Each,19,4/24/2023,,882.66,0,21,0
2023-04-20,46.72,Infused Beverage,Each,4,4/24/2023,,46.72,0,8,0
2023-04-18,60,Concentrate,Grams,1,4/24/2023,,0,60,0.5,0.5
2023-04-21,170,Concentrate (Each),Each,7,4/24/2023,,170,0,5,0
2023-04-20,1743.05,Infused (edible),Each,59,4/24/2023,,1743.05,0,74,0
2023-04-18,1390,Buds,Grams,30,4/24/2023,,0,1390,164.5,164.5
2023-04-18,1507.5,Concentrate (Each),Each,31,4/24/2023,,1507.5,0,35,0
2023-04-20,2466,Concentrate (Each),Each,99,4/24/2023,,2466,0,123,0
2023-04-19,25,Infused (non-edible),Each,1,4/24/2023,,25,0,1,0
2023-04-21,435,Concentrate (Each),Each,8,4/24/2023,,435,0,9,0
2023-04-22,1424.76,Immature Plants,Each,26,4/24/2023,,1424.76,0,43,0
2023-04-18,270,Infused Pre-Rolls,Grams,10,4/24/2023,,0,270,9.9,9.9
2023-04-20,796.5,Concentrate (Each),Each,24,4/24/2023,,796.5,0,26,0
2023-04-22,90,Shake/Trim (by strain),Grams,3,4/24/2023,,0,90,21,21
2023-04-19,1115,Vape Product,Each,28,4/24/2023,,1115,0,29,0
2018-11-20 -2023-04-16,57414.63,Infused Beverage,Each,3984,4/24/2023,7137,57414.63,0,7394,0
2023-04-22,30,Shake/Trim (by strain),Grams,1,4/24/2023,,0,30,14,14
2023-04-22,444,Concentrate (Each),Each,11,4/24/2023,,444,0,15,0
2023-04-21,3441,Concentrate (Each),Each,109,4/24/2023,,3441,0,176,0
2023-04-21,437,Vape Product,Each,11,4/24/2023,,437,0,12,0
2023-04-23,3980.96,Vape Product,Each,100,4/24/2023,,3980.96,0,109,0
2023-04-22,96,Concentrate,Grams,2,4/24/2023,,0,96,2,2
2023-04-23,270,Raw Pre-Rolls,Grams,20,4/24/2023,,0,270,29.05,29.05
2018-11-20 -2023-04-16,2028.79,Concentrate (Bulk),Grams,33,4/24/2023,0,0,2028.79,401,401
2023-04-20,3477.57,Raw Pre-Rolls,Grams,266,4/24/2023,,0,3477.57,360.5,360.5
2023-04-18,1380.03,Raw Pre-Rolls,Grams,101,4/24/2023,,0,1380.03,125,125
2023-04-19,2866.59,Raw Pre-Rolls,Grams,239,4/24/2023,,0,2866.59,303.6,303.6
2018-11-20 -2023-04-16,5225657.95,Vape Product,Each,98269,4/24/2023,98608,5225657.95,0,106089,0
2023-04-17,149.43,Infused (edible),Each,8,4/24/2023,,149.43,0,8,0
2018-11-20 -2023-04-16,1131307.69,Vape Product,Each,21293,4/24/2023,20694,1131307.69,0,22831,0
